Заявка;Тип заявки BK;Тип заявки HD;Начало;Окончание;Район;Адрес;Подключение;Гигабитное подключение
74198;Подключение;Конвергенция абонента;17.08.2026 20:00;17.08.2026 22:00;Кузьминки;Город Москва, пр-кт.Волгоградский, д. 128 к 5;FMC;Нет
86160;Подключение;Конвергенция абонента;17.08.2026 18:00;17.08.2026 20:00;Таганский;Город Москва, пер.Маяковского, д. 2;FMC;Нет
50104;Подключение;Заявка на подключение;17.08.2026 18:00;17.08.2026 20:00;Текстильщики;Город Москва, ул.Грайвороновская, д. 10 к 2;;Да
46393;Подключение;Конвергенция абонента;17.08.2026 20:00;17.08.2026 22:00;Рязанский;Город Москва, ул.Михайлова, д. 14;FMC;Нет
10135;Подключение;Конвергенция абонента;17.08.2026 18:00;17.08.2026 20:00;Рязанский;Город Москва, ул.3-я Институтская, д. 5 к 2;FMC;Нет
18754;Подключение;Конвергенция абонента;17.08.2026 18:00;17.08.2026 20:00;Рязанский;Город Москва, ул.1-я Новокузьминская, д. 16 к 1;FMC;Нет
84627;Подключение;Конвергенция абонента;17.08.2026 20:00;17.08.2026 22:00;Кузьминки;Город Москва, ул.Окская, д. 32;FMC;Нет
61540;Подключение;Конвергенция абонента;17.08.2026 16:00;17.08.2026 18:00;Кузьминки;Город Москва, ул.Юных Ленинцев, д. 84;FMC;Нет
74949;Подключение;Конвергенция абонента;17.08.2026 10:00;17.08.2026 12:00;Таганский;Город Москва, ул.Международная, д. 28 стр. 1;FMC;Нет
41077;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Таганский;Город Москва, ул.Новорогожская, д. 8;FMC;Нет
87693;Подключение;Конвергенция абонента;17.08.2026 16:00;17.08.2026 18:00;Текстильщики;Город Москва, ул.Чистова, д. 12;FMC;Нет
93086;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Рязанский;Город Москва, ул.Паперника, д. 19;FMC;Нет
57866;Подключение;Конвергенция абонента;17.08.2026 14:00;17.08.2026 16:00;Рязанский;Город Москва, ул.Окская, д. 48/2;FMC;Нет
35675;Подключение;Конвергенция абонента;17.08.2026 16:00;17.08.2026 18:00;Южнопортовый;Город Москва, ул.Трофимова, д. 24 к 2;FMC;Нет
82388;Подключение;Конвергенция абонента;17.08.2026 14:00;17.08.2026 16:00;Южнопортовый;Город Москва, ул.1-я Дубровская, д. 6;FMC;Нет
23380;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Таганский;Город Москва, ул.Рогожский Вал, д. 2/50;FMC;Нет
37272;Подключение;Конвергенция абонента;17.08.2026 10:00;17.08.2026 12:00;Таганский;Город Москва, ул.Талалихина, д. 2/1 к 4;FMC;Нет
71388;Подключение;Конвергенция абонента;17.08.2026 14:00;17.08.2026 16:00;Текстильщики;Город Москва, ул.Артюхиной, д. 20А;FMC;Нет
34366;Подключение;Конвергенция абонента;17.08.2026 10:00;17.08.2026 12:00;Текстильщики;Город Москва, ул.Малышева, д. 13;FMC;Нет
67554;Подключение;Заявка на подключение;17.08.2026 12:00;17.08.2026 14:00;Нижегородский;Город Москва, ул.Бронницкая, д. 12;;Нет
94409;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Лефортово;Город Москва, ул.Авиамоторная, д. 14;FMC;Нет
10245;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Кузьминки;Город Москва, ул.Фёдора Полетаева, д. 2 к 6;FMC;Нет
52405;Подключение;Конвергенция абонента;17.08.2026 10:00;17.08.2026 12:00;Рязанский;Город Москва, ул.Зарайская, д. 51 к 2;FMC;Нет
30769;Подключение;Конвергенция абонента;17.08.2026 14:00;17.08.2026 16:00;Текстильщики;Город Москва, ул.Саратовская, д. 14/1;FMC;Нет
98182;Подключение;Заявка на подключение;17.08.2026 10:00;17.08.2026 12:00;Нижегородский;Город Москва, ул.Нижегородская, д. 63;;Нет
76082;Подключение;Заказ подключения/Дозаказ оборудования;17.08.2026 12:00;17.08.2026 14:00;Нижегородский;Город Москва, ул.Смирновская, д. 6;FTTB;Нет
29890;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Нижегородский;Город Москва, ул.Нижегородская, д. 61;FMC;Нет
77563;Подключение;Конвергенция абонента;17.08.2026 10:00;17.08.2026 12:00;Кузьминки;Город Москва, ул.Зеленодольская, д. 28Б;FMC;Нет
53587;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Текстильщики;Город Москва, ул.Артюхиной, д. 16;FMC;Нет
82808;Подключение;Конвергенция абонента;17.08.2026 14:00;17.08.2026 16:00;Нижегородский;Город Москва, ул.3-я Карачаровская, д. 4 к 1;FMC;Нет
7939;Подключение;Конвергенция абонента;17.08.2026 12:00;17.08.2026 14:00;Рязанский;Город Москва, пр-кт.Рязанский, д. 73;FMC;Нет
92031;Дозаказ;Дозаказ оборудования;17.08.2026 18:00;17.08.2026 20:00;Выхино;Город Москва, ул.Ферганская, д. 28/7;FMC;Нет
31260;Дозаказ;Дозаказ оборудования;17.08.2026 20:00;17.08.2026 22:00;Выхино;Город Москва, б-р.Самаркандский Квартал 137а, д. к5;FMC;Нет
69967;Дозаказ;Заказ подключения/Дозаказ оборудования;17.08.2026 10:00;17.08.2026 12:00;Лефортово;Город Москва, ул.Боровая, д. 14;FTTB;Да
22634;Дозаказ;Дозаказ оборудования;17.08.2026 14:00;17.08.2026 16:00;Таганский;Город Москва, ул.Стройковская, д. 8;FMC;Нет
98815;Дозаказ;Дозаказ оборудования;17.08.2026 18:00;17.08.2026 20:00;Лефортово;Город Москва, ул.2-я Синичкина, д. 9 к 1;FMC;Нет
33527;Дозаказ;Дозаказ оборудования;17.08.2026 10:00;17.08.2026 12:00;Нижегородский;Москва, проезд Орехово-Зуевский, д. 18/8;FMC;Нет
21571;Локальная заявка;Нет линка;17.08.2026 18:00;17.08.2026 20:00;Таганский;Город Москва, пер.Большой Рогожский, д. 10 к 2;;Нет
47670;Локальная заявка;Нет линка;17.08.2026 20:00;17.08.2026 22:00;Басманный;Город Москва, ул.Машкова, д. 13 стр. 1;;Нет
17892;Локальная заявка;Переключение на Гбит/с;17.08.2026 18:00;17.08.2026 20:00;Текстильщики;Город Москва, ул.11-я Текстильщиков, д. 10;;Нет
51115;Локальная заявка;Нет линка;17.08.2026 18:00;17.08.2026 20:00;Рязанский;Город Москва, ул.Паперника, д. 18;;Нет
76643;Локальная заявка;Нет линка;17.08.2026 18:00;17.08.2026 20:00;Таганский;Город Москва, ул.Большая Калитниковская, д. 38;;Нет
43506;Локальная заявка;Переключение на Гбит/с;17.08.2026 20:00;17.08.2026 22:00;Выхино;Город Москва, б-р.Самаркандский Квартал 137а, д. к5;;Нет
48174;Локальная заявка;Мониторинг;17.08.2026 18:00;17.08.2026 20:00;Кузьминки;Город Москва, ул.Маршала Чуйкова, д. 9 к 2;;Нет
48227;Локальная заявка;Нет линка;17.08.2026 12:00;17.08.2026 14:00;Таганский;Город Москва, ул.Талалихина, д. 16;;Нет
60720;Локальная заявка;Нет линка;17.08.2026 12:00;17.08.2026 14:00;Текстильщики;Город Москва, б-р.Волжский, д. 50 к 2;;Нет
48238;Локальная заявка;Разрывы;17.08.2026 14:00;17.08.2026 16:00;Текстильщики;Город Москва, ул.Артюхиной, д. 3;;Нет
41912;Локальная заявка;Нет линка;17.08.2026 12:00;17.08.2026 14:00;Выхино;Город Москва, проезд.Ферганский, д. 7 к 5;;Нет
4893;Локальная заявка;Нет линка;17.08.2026 12:00;17.08.2026 14:00;Басманный;Город Москва, ул.Земляной Вал, д. 24/30 стр. 1;;Нет
68476;Локальная заявка;Разрывы;17.08.2026 10:00;17.08.2026 12:00;Нижегородский;Город Москва, ул.3-я Карачаровская, д. 8 к 2;;Нет
50219;Локальная заявка;Нет линка;17.08.2026 10:00;17.08.2026 12:00;Нижегородский;Город Москва, ул.Чистопольская, д. 2 к 2;;Нет
76678;Локальная заявка;Работа с кабелем;17.08.2026 10:00;17.08.2026 12:00;Лефортово;Город Москва, ул.Боровая, д. 12;;Нет
47330;Локальная заявка;Роутер. Замена техническим специалистом;17.08.2026 14:00;17.08.2026 16:00;Лефортово;Город Москва, ул.Красноказарменная, д. 9Б стр. 1;;Нет
26645;Локальная заявка;TVE/ENT. Другие ошибки;17.08.2026 16:00;17.08.2026 18:00;Лефортово;Город Москва, ул.Сторожевая, д. 31;;Нет
